2024-04-16 01:02:12.515 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-04-16 02:59:47.068 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5c2a3f0c
2024-04-16 02:59:47.072 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-04-16 02:59:49.048 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-04-16 02:59:49.230 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-16 02:59:50.065 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-04-16 02:59:51.276 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-04-16 02:59:52.706 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-04-16 02:59:53.326 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-04-16 02:59:53.363 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-04-16 02:59:53.378 [main] INFO  c.p.l.LangRecognizerApplication - Started LangRecognizerApplication in 12.009 seconds (process running for 13.295)
2024-04-16 03:00:59.480 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-04-16 03:00:59.485 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-04-16 03:00:59.504 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-04-16 03:29:59.807 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-04-16 03:29:59.873 [main] INFO  c.p.l.LangRecognizerApplication - Starting LangRecognizerApplication using Java 17.0.10 with PID 18848 (C:\JavaSpring\langrecognizer\target\classes started by perto in C:\JavaSpring\LangRecognizer)
2024-04-16 03:29:59.873 [main] INFO  c.p.l.LangRecognizerApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-16 03:30:01.382 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-16 03:30:01.747 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 355 ms. Found 3 JPA repository interfaces.
2024-04-16 03:30:03.422 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-04-16 03:30:03.468 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-16 03:30:03.484 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-04-16 03:30:03.484 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-04-16 03:30:03.625 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-16 03:30:03.625 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3691 ms
2024-04-16 03:30:04.098 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-16 03:30:04.336 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2024-04-16 03:30:04.399 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-04-16 03:30:05.033 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-04-16 03:30:05.111 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-04-16 03:30:06.393 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5c2a3f0c
2024-04-16 03:30:06.403 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-04-16 03:30:08.656 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-04-16 03:30:08.833 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-16 03:30:09.953 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-04-16 03:30:11.330 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-04-16 03:30:13.201 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-04-16 03:30:14.111 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-04-16 03:30:14.177 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-04-16 03:30:14.195 [main] INFO  c.p.l.LangRecognizerApplication - Started LangRecognizerApplication in 14.917 seconds (process running for 16.408)
2024-04-16 03:30:26.310 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-16 03:30:26.310 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-04-16 03:30:26.313 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-04-16 03:30:26.415 [http-nio-8080-exec-1] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [live] 
2024-04-16 03:30:26.548 [http-nio-8080-exec-1] INFO  c.p.l.aspect.LoggingAspect - Method return: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [live] returned: [Español, Nací en California]
2024-04-16 03:30:26.548 [http-nio-8080-exec-1] INFO  c.p.l.aspect.LoggingAspect - Method executed: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [live] in 135ms
2024-04-16 03:30:31.870 [http-nio-8080-exec-3] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [livef] 
2024-04-16 03:30:31.875 [http-nio-8080-exec-3] INFO  c.p.l.aspect.LoggingAspect - Method return: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [livef] returned: []
2024-04-16 03:30:31.876 [http-nio-8080-exec-3] INFO  c.p.l.aspect.LoggingAspect - Method executed: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [livef] in 6ms
2024-04-16 03:30:35.134 [http-nio-8080-exec-4] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [livef] 
2024-04-16 03:30:35.138 [http-nio-8080-exec-4] INFO  c.p.l.aspect.LoggingAspect - Method return: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [livef] returned: []
2024-04-16 03:30:35.139 [http-nio-8080-exec-4] INFO  c.p.l.aspect.LoggingAspect - Method executed: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [livef] in 5ms
2024-04-16 03:32:06.081 [http-nio-8080-exec-6] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [1] 
2024-04-16 03:32:08.043 [http-nio-8080-exec-9] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [2] 
2024-04-16 03:32:57.680 [http-nio-8080-exec-10] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [1] 
2024-04-16 03:32:59.395 [http-nio-8080-exec-3] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [2] 
2024-04-16 03:33:00.695 [http-nio-8080-exec-4] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [3] 
2024-04-16 03:33:01.761 [http-nio-8080-exec-6] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [4] 
2024-04-16 03:33:02.975 [http-nio-8080-exec-8] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [5] 
2024-04-16 03:33:04.024 [http-nio-8080-exec-10] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [6] 
2024-04-16 03:33:12.200 [http-nio-8080-exec-3] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTexts with args: [] 
2024-04-16 03:33:28.075 [http-nio-8080-exec-4] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TagController.getTags with args: [] 
2024-04-16 03:33:32.624 [http-nio-8080-exec-6] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.LanguageController.getLanguages with args: [] 
2024-04-16 03:33:51.055 [http-nio-8080-exec-8] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.LanguageController.getLanguages with args: [] 
2024-04-16 03:35:01.003 [http-nio-8080-exec-10] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.LanguageController.getLanguages with args: [] 
2024-04-16 03:35:09.733 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-04-16 03:35:09.748 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-04-16 03:35:09.764 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-04-16 03:35:15.568 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-04-16 03:35:15.641 [main] INFO  c.p.l.LangRecognizerApplication - Starting LangRecognizerApplication using Java 17.0.10 with PID 11760 (C:\JavaSpring\langrecognizer\target\classes started by perto in C:\JavaSpring\LangRecognizer)
2024-04-16 03:35:15.643 [main] INFO  c.p.l.LangRecognizerApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-16 03:35:17.418 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-16 03:35:17.809 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 377 ms. Found 3 JPA repository interfaces.
2024-04-16 03:35:19.589 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-04-16 03:35:19.620 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-16 03:35:19.620 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-04-16 03:35:19.620 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-04-16 03:35:19.808 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-16 03:35:19.808 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4088 ms
2024-04-16 03:35:20.250 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-16 03:35:20.422 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2024-04-16 03:35:20.531 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-04-16 03:35:21.194 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-04-16 03:35:21.257 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-04-16 03:35:21.976 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5c2a3f0c
2024-04-16 03:35:21.991 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-04-16 03:35:24.533 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-04-16 03:35:24.712 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-16 03:35:25.717 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-04-16 03:35:27.132 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-04-16 03:35:28.764 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-04-16 03:35:29.504 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-04-16 03:35:29.554 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-04-16 03:35:29.575 [main] INFO  c.p.l.LangRecognizerApplication - Started LangRecognizerApplication in 14.619 seconds (process running for 16.225)
2024-04-16 03:35:41.480 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-16 03:35:41.481 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-04-16 03:35:41.484 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2024-04-16 03:35:41.565 [http-nio-8080-exec-1] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.LanguageController.getLanguages with args: [] 
2024-04-16 03:35:52.114 [http-nio-8080-exec-5] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.LanguageController.getLanguages with args: [] 
2024-04-16 03:35:56.956 [http-nio-8080-exec-7] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TagController.getTags with args: [] 
2024-04-16 03:36:14.995 [http-nio-8080-exec-9] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TagController.getTags with args: [] 
2024-04-16 03:39:22.075 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-04-16 03:39:22.081 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-04-16 03:39:22.096 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-04-16 03:39:26.457 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-04-16 03:39:26.541 [main] INFO  c.p.l.LangRecognizerApplication - Starting LangRecognizerApplication using Java 17.0.10 with PID 22420 (C:\JavaSpring\langrecognizer\target\classes started by perto in C:\JavaSpring\LangRecognizer)
2024-04-16 03:39:26.543 [main] INFO  c.p.l.LangRecognizerApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-16 03:39:28.156 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-16 03:39:28.528 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 364 ms. Found 3 JPA repository interfaces.
2024-04-16 03:39:30.059 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-04-16 03:39:30.090 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-16 03:39:30.090 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-04-16 03:39:30.090 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-04-16 03:39:30.246 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-16 03:39:30.246 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3632 ms
2024-04-16 03:39:30.689 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-16 03:39:30.815 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2024-04-16 03:39:30.897 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-04-16 03:39:31.417 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-04-16 03:39:31.480 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-04-16 03:39:32.089 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@50b38342
2024-04-16 03:39:32.089 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-04-16 03:39:34.581 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-04-16 03:39:34.772 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-16 03:39:35.898 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-04-16 03:39:39.273 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-04-16 03:39:40.057 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-04-16 03:39:40.106 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-04-16 03:39:40.129 [main] INFO  c.p.l.LangRecognizerApplication - Started LangRecognizerApplication in 14.284 seconds (process running for 15.939)
2024-04-16 03:39:48.982 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-16 03:39:48.983 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-04-16 03:39:48.985 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-04-16 03:39:49.060 [http-nio-8080-exec-2] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TagController.getTags with args: [] 
2024-04-16 03:40:01.218 [http-nio-8080-exec-5] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TagController.getTags with args: [] 
2024-04-16 03:40:05.471 [http-nio-8080-exec-6] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.LanguageController.getLanguages with args: [] 
2024-04-16 03:48:46.644 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-04-16 03:48:46.729 [main] INFO  c.p.l.LangRecognizerApplication - Starting LangRecognizerApplication using Java 17.0.10 with PID 15028 (C:\JavaSpring\langrecognizer\target\classes started by perto in C:\JavaSpring\LangRecognizer)
2024-04-16 03:48:46.738 [main] INFO  c.p.l.LangRecognizerApplication - No active profile set, falling back to 1 default profile: "default"
